University Name,Country,City,QS Ranking 2025,Public or Private,Tuition Fees (International),Application Fee,IELTS Requirement,TOEFL Requirement,Duolingo Requirement,Minimum GPA,Admission Deadline,Programs Available,Scholarship Available,Scholarship Details,Intake Seasons,Application Link,Official Website,Campus Image URL 1,Campus Image URL 2,Campus Image URL 3,University Logo URL,Notes
Peking University,China,Beijing,25,Public,CNY 26000–45000/year (~USD 3600–6200) for Chinese; higher for Int'l,USD 50 (Int'l),"6.0+","79+ iBT",,3.0+,March–May (PG); Dec–April (UG),"Computer Science, Economics, Environmental Sciences, International Relations, Law, Management, Mathematics, Natural Sciences, Philosophy, Social Sciences",Yes,"Peking University Scholarship; Chinese Government Scholarship (CSC); Silk Road Scholarship",Fall (Sep),https://www.pku.edu.cn/International/Admissions/,https://www.pku.edu.cn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Boya_Pagoda%2C_Peking_University.jpg/1280px-Boya_Pagoda%2C_Peking_University.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Weiming_Lake%2C_Peking_University%2C_2011042209.jpg/1280px-Weiming_Lake%2C_Peking_University%2C_2011042209.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Weiming_Lake_of_Peking_University_in_spring_03.jpg/1280px-Weiming_Lake_of_Peking_University_in_spring_03.jpg,https://www.pku.edu.cn/Portals/0/portal.png,"Most programs in Chinese; limited English-medium programs; Chinese language proficiency (HSK) required for Chinese-taught programs"
University of Toronto,Canada,Toronto (ON),26,Public,CAD 42000–56000/year (UG Int'l); CAD 26000–60000/year (PG Int'l),CAD 90 (UG); CAD 110 (PG),"6.5 min; 7.0+ for professional programs","100+ iBT",,3.0 (UG min); 3.3+ (PG),Mar 1–Jun 1 (PG); Nov–Feb (UG),"Architecture, Arts & Sciences, Business (Rotman MBA), Computer Science, Dentistry, Education, Engineering, Kinesiology, Law, Medicine, Music, Nursing, Pharmacy, Public Health, Social Work",Yes,"University of Toronto Scholarship; Lester B. Pearson Scholarship (UG Int'l full scholarship); Ontario Graduate Scholarship; UTSG Graduate Fellowships",Fall (Sep),https://admissions.utoronto.ca,https://www.utoronto.ca,https://www.utoronto.ca/sites/default/files/2020-12/hart-house.jpg,https://www.utoronto.ca/sites/default/files/2020-12/st-george-campus.jpg,https://www.utoronto.ca/sites/default/files/2021-02/robarts-library.jpg,https://www.utoronto.ca/sites/default/files/styles/utorontowide/public/2023-11/UofT_Logo_Signature_Stack_RGB.png,"GMAT/GRE required for MBA and some PG programs; Rotman MBA requires GMAT 660+"
University of Hong Kong (HKU),Hong Kong,Hong Kong,27,Public,HKD 145000/year (~USD 18500/year) (UG Int'l); HKD 120000–180000/year (PG Int'l),HKD 300 (UG); HKD 300–500 (PG),"6.5–7.0","80–100 iBT",,3.0+,Dec–Feb (UG); rolling (PG),"Architecture, Arts, Business Economics & Accounting, Dentistry, Education, Engineering, Law, Medicine, Science, Social Sciences",Yes,"HKU Foundation Scholarships; Vice-Chancellor's Achievement Award; Reaching Out Award for exchange; research postgraduate scholarships",Fall (Sep); Spring (Jan; for some PG),https://www.aal.hku.hk/admissions/undergraduate/,https://www.hku.hk,https://www.hku.hk/f/news_events/2020/3/6/7202-landscape-1024x683.jpg,https://www.hku.hk/f/news_events/2019/8/5/6399-landscape-1024x683.jpg,https://www.hku.hk/f/news_events/2019/7/1/6273-landscape-1024x683.jpg,https://www.hku.hk/f/page/1/hku-logo.png,"IELTS/TOEFL waived for UG from English-medium schools; JUPAS for local applicants; GMAT for MBA"
Australian National University (ANU),Australia,Canberra,28,Public,AUD 37248–47880/year (UG Int'l); AUD 27000–43000/year (PG Int'l),AUD 100,"6.5 min; 7.0 for some programs","80 iBT min; 94 for some",,3.0+,Sep–Nov (UG); rolling (PG),"Actuarial Studies, Arts, Business Administration, Computer Science, Engineering, Environment, Law, Medicine, Natural Sciences, Politics, Security Studies",Yes,"ANU Merit Scholarships; ANU Chancellor's International Scholarship; ANU PhD Scholarship; Stipend scholarships for research PG",Semester 1 (Feb); Semester 2 (Jul),https://www.anu.edu.au/study/apply,https://www.anu.edu.au,https://www.anu.edu.au/sites/default/files/2019-08/anu_campus_aerial.jpg,https://www.anu.edu.au/sites/default/files/2019-08/chifley_library.jpg,https://www.anu.edu.au/sites/default/files/2019-09/union-court.jpg,https://www.anu.edu.au/sites/default/files/styles/anu_wide/public/2022/anu_logo_0.png,"Research-intensive; located in national capital; PTE accepted; strong government/public policy programs"
University of Tokyo,Japan,Tokyo,29,Public,JPY 535800/year (~USD 3600/year) domestic; JPY 535800 (same for Int'l),JPY 30000 (admissions fee),"6.5+","79+ iBT",,3.0+,December–February (UG); varies (PG),"Agriculture, Architecture, Arts, Computer Science, Economics, Education, Engineering, Law, Medicine, Natural Sciences, Pharmaceutical Sciences, Social Sciences",Yes,"UTokyo Scholarship; JASSO Scholarship; MEXT Government Scholarship; university-specific international scholarships",Fall (Apr); Fall (Sep; for some Int'l PG),https://www.u-tokyo.ac.jp/en/admissions/,https://www.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/content/400115895.jpg,https://www.u-tokyo.ac.jp/content/400115898.jpg,https://www.u-tokyo.ac.jp/content/400115902.jpg,https://www.u-tokyo.ac.jp/content/400053528.gif,"Japanese language proficiency required for most UG programs; English-medium programs (PEAK; GSGC) available; low tuition even for int'l"
University of California Los Angeles (UCLA),USA,Los Angeles (CA),30,Public,"USD 13258/year (CA resident UG); USD 42754/year (non-resident UG); varies PG",USD 70 (UG); USD 105 (PG),"7.0+","87+ iBT",,3.0 (CA min); 3.5+ competitive,Nov 30 (UG); Dec–Mar (PG),"Architecture, Arts, Business (Anderson MBA), Computer Science, Education, Engineering, Law, Medicine, Natural Sciences, Nursing, Public Affairs, Social Sciences, Theater Film TV",Yes,"Regents Scholarship; Alumni Scholarship; Chancellor's Blue & Gold Scholarship; Anderson Fellowship for MBA",Fall,https://apply.universityofcalifornia.edu,https://www.ucla.edu,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Royce_Hall_-_Front_View.jpg/1280px-Royce_Hall_-_Front_View.jpg,https://newsroom.ucla.edu/sites/default/files/photos/2020/royce-hall-drone.jpg,https://newsroom.ucla.edu/sites/default/files/photos/2019/Powell_Library_drone.jpg,https://brand.ucla.edu/application/files/4816/0504/0002/logo-ucla.png,"UC system application; GRE/GMAT for many PG; strong athletics and arts programs; large public research university"
University of Manchester,UK,Manchester,31,Public,£22000–£35000/year (UG Int'l); £18000–£35000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","90+ iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Architecture, Arts & Humanities, Business (Alliance Manchester Business School MBA), Computer Science, Engineering, Environment, Law, Medicine, Natural Sciences, Social Sciences",Yes,"President's Doctoral Scholar Awards; Manchester Bursary; Global Futures Scholarship; Alumni Scholarship",Fall (Sep),https://www.manchester.ac.uk/study/postgraduate/admissions/,https://www.manchester.ac.uk,https://www.manchester.ac.uk/media/amxmedia/university-of-manchester-aerial-view.jpg,https://www.manchester.ac.uk/media/amxmedia/stopford-building.jpg,https://www.manchester.ac.uk/media/amxmedia/students-on-campus.jpg,https://www.manchester.ac.uk/medialibrary/logos/tumblr-the-university-of-manchester-logo.png,"Strong research university; GMAT for MBA; personal statement required; wide range of PG taught and research programs"
University of Sydney,Australia,Sydney,32,Public,AUD 40000–60000/year (UG Int'l); AUD 27000–50000/year (PG Int'l),AUD 100 (varies),"6.5 min; 7.0 for some","85 iBT min; 100 for some",,3.0+,Sep–Nov (UG Sem 1); April (Sem 2); rolling (PG),"Architecture, Arts, Business, Computer Science, Dentistry, Education, Engineering, Law, Medicine, Music, Natural Sciences, Nursing, Pharmacy, Social Sciences",Yes,"International Scholarship (up to AUD 40000); Postgraduate Research Scholarship; Sydney University Scholarships; Vice-Chancellor's Scholarship",Semester 1 (Feb); Semester 2 (Jul),https://sydney.edu.au/study/how-to-apply.html,https://www.sydney.edu.au,https://www.sydney.edu.au/content/dam/corporate/images/about/rankings/campus-main-quad.jpg,https://www.sydney.edu.au/content/dam/corporate/images/about/campus/quadrangle.jpg,https://www.sydney.edu.au/content/dam/corporate/images/about/campus/quad-autumn.jpg,https://www.sydney.edu.au/content/dam/corporate/images/logos/usyd-logo.png,"PTE accepted; GMAT required for MBA; strong medicine and law programs; research-intensive Go8 member"
University of British Columbia (UBC),Canada,Vancouver (BC),33,Public,CAD 38000–48000/year (UG Int'l); CAD 22000–45000/year (PG Int'l),CAD 75–102,"6.5 min; 7.0 for professional","90+ iBT",,3.0+,Nov 1 (UG); Dec–Mar (PG),"Applied Science, Arts, Business (Sauder MBA), Computer Science, Dentistry, Education, Engineering, Forestry, Law, Medicine, Music, Natural Sciences, Pharmacy, Social Work",Yes,"International Major Entrance Scholarship; Trek Excellence Scholarship; UBC Graduate Fellowship; 4-Year Fellowship (doctoral)",Fall (Sep); Jan (some programs),https://you.ubc.ca/applying-ubc/,https://www.ubc.ca,https://www.ubc.ca/assets/img/page-content/ubc-campus-aerial.jpg,https://www.ubc.ca/assets/img/page-content/ubc-campus-buildings.jpg,https://www.ubc.ca/assets/img/page-content/ubc-campus-library.jpg,https://www.ubc.ca/assets/img/logos/ubc-logo.png,"GMAT for MBA; SAT/ACT not required; 2 campuses (Vancouver & Okanagan); strong research culture"
Seoul National University (SNU),South Korea,Seoul,34,Public,KRW 4000000–6000000/year (~USD 3000–4500/year),KRW 60000 (~USD 45),"6.0–6.5","79–86 iBT",,3.0+,September–November (PG); Feb–May (UG Int'l),"Agriculture, Architecture, Arts, Business Administration, Computer Science, Dentistry, Economics, Education, Engineering, Environmental Science, Law, Medicine, Natural Sciences, Social Sciences",Yes,"Korean Government Scholarship Program (KGSP); SNU Global Scholarship; Research Scholarships; Brain Korea 21 Scholarship",Spring (Mar); Fall (Sep),https://en.snu.ac.kr/admission,https://en.snu.ac.kr,https://en.snu.ac.kr/sites/default/files/photos/homepage/campus.jpg,https://en.snu.ac.kr/sites/default/files/photos/homepage/main-library.jpg,https://en.snu.ac.kr/sites/default/files/photos/homepage/gwanak-campus.jpg,https://en.snu.ac.kr/sites/default/files/photos/homepage/snu_logo.png,"Korean language proficiency (TOPIK) required for Korean-taught programs; GMAT for MBA; English-medium programs available for Int'l"
University of New South Wales (UNSW Sydney),Australia,Sydney,35,Public,AUD 38000–55000/year (UG Int'l); AUD 25000–50000/year (PG Int'l),AUD 100,"6.5 min; 7.0 for some","80 iBT min; 90 for some",,3.0+,Sep–Nov (UG Sem 1); April (Sem 2); rolling (PG),"Architecture, Art & Design, Business, Computer Science, Engineering, Law, Medicine, Natural Sciences, Social Sciences, UNSW Canberra programs",Yes,"UNSW International Scholarship; Global Academic Award; Science International Scholarship; Scientia PhD Scholarship",Semester 1 (Feb); Semester 2 (Jul),https://www.unsw.edu.au/study/apply,https://www.unsw.edu.au,https://www.unsw.edu.au/content/dam/images/campus-aerial.jpg,https://www.unsw.edu.au/content/dam/images/library-exterior.jpg,https://www.unsw.edu.au/content/dam/images/quad.jpg,https://www.unsw.edu.au/content/dam/icons/unsw-logo.svg,"PTE accepted; GMAT for MBA; Go8 member; strong engineering programs; two campuses (Sydney & Canberra)"
University of California San Diego (UCSD),USA,San Diego (CA),36,Public,"USD 14312/year (CA resident UG); USD 44066/year (non-resident UG); varies PG",USD 70 (UG); USD 105 (PG),"7.0+","83+ iBT",,3.0,Nov 30 (UG); Dec–Feb (PG),"Biological Sciences, Business Analytics, Computer Science & Engineering, Economics, Engineering, Health Sciences, Marine Sciences, Mathematics, Natural Sciences, Oceanography, Social Sciences",Yes,"Regents Scholarship; Rady School Fellowship; Scripps Fellowships; Graduate Division Fellowship",Fall,https://apply.universityofcalifornia.edu,https://ucsd.edu,https://ucsd.edu/_images/ucsd-campus.jpg,https://ucsd.edu/_images/geisel-library.jpg,https://ucsd.edu/_images/price-center.jpg,https://ucsd.edu/images/ucsd-logo.png,"Geisel Library iconic landmark; strong STEM and ocean sciences; GRE/GMAT for some PG"
Kyoto University,Japan,Kyoto,37,Public,JPY 535800/year (~USD 3600/year),JPY 30000 (admissions fee),"6.0+","79+ iBT",,3.0+,December–February; varies by program,"Agriculture, Economics, Education, Engineering, Graduate School of Energy Science, Graduate School of Informatics, Integrated Human Studies, Law, Letters, Medicine, Natural Sciences, Pharmaceutical Sciences",Yes,"MEXT Government Scholarship; JASSO Scholarship; Kyoto University Scholarship; JSPS Research Fellowship for PG",Spring (Apr); Fall (Oct; some programs),https://www.kyoto-u.ac.jp/en/education/admissions,https://www.kyoto-u.ac.jp,https://www.kyoto-u.ac.jp/sites/default/files/2020-06/campus_summer.jpg,https://www.kyoto-u.ac.jp/sites/default/files/2020-10/clock_tower_autumn.jpg,https://www.kyoto-u.ac.jp/sites/default/files/2020-07/yoshida_campus.jpg,https://www.kyoto-u.ac.jp/sites/default/files/2021/ku_logo.gif,"Japanese language required for most UG; English-medium graduate programs available; very low tuition even for international"
London School of Economics and Political Science (LSE),UK,London,38,Public,£22000–£35000/year (UG Int'l); £20000–£35000/year (PG Int'l),£75 (PG); UCAS (UG),"7.0 standard; 7.5 for MSc Finance","107 iBT standard; 113 for MSc Finance",,3.3+,Jan 31 (UG UCAS); varies (PG),"Accounting, Anthropology, Economics, Finance, Geography, Government, International History, International Relations, Law, Management, Mathematics, Philosophy, Social Policy, Sociology, Statistics",Yes,"LSE PhD Studentships; Chevening Scholarships; Commonwealth Scholarship; LSE Postgraduate Financial Support",Fall (Sep),https://www.lse.ac.uk/study-at-lse/Undergraduate/how-to-apply,https://www.lse.ac.uk,https://www.lse.ac.uk/assets/richmedia/channels/publicLecturesAndEvents/photos/2016/LSEbuilding_external-710x400.jpg,https://www.lse.ac.uk/assets/richmedia/channels/publicLecturesAndEvents/photos/2017/Library-710x400.jpg,https://www.lse.ac.uk/assets/richmedia/channels/publicLecturesAndEvents/photos/2019/Bankside-710x400.jpg,https://www.lse.ac.uk/lse-information/assets/images/logos/lse-logo.png,"Social science specialist; GRE/GMAT for some PG; no STEM programs; strong quantitative social science research"
King's College London (KCL),UK,London,41,Public,£22500–£35000/year (UG Int'l); £18000–£32000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","92 iBT min; 100 for some",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts & Humanities, Biomedical Sciences, Business, Computer Science, Dentistry, Education, Engineering, Law, Medicine, Natural Sciences, Nursing, Social Sciences",Yes,"King's Elite Scholarship; King's College London PhD Studentships; Excellence Scholarship; various departmental bursaries",Fall (Sep),https://www.kcl.ac.uk/study/undergraduate/applying,https://www.kcl.ac.uk,https://www.kcl.ac.uk/study/assets/images/campus-strand.jpg,https://www.kcl.ac.uk/study/assets/images/bush-house.jpg,https://www.kcl.ac.uk/study/assets/images/waterloo-bridge-wing.jpg,https://www.kcl.ac.uk/sites/default/files/styles/inline_image_large/public/2019-10/kcl-logo.png,"Medical school highly rated; GRE for some PG; UCAT for Medicine/Dentistry; central London campuses on Thames"
Monash University,Australia,Melbourne,42,Public,AUD 38000–50000/year (UG Int'l); AUD 26000–45000/year (PG Int'l),AUD 100,"6.0 min; 6.5 for some","80 iBT min",,3.0+,Sep–Nov (UG Sem 1); April (Sem 2); rolling (PG),"Arts, Business, Computer Science, Education, Engineering, Law, Medicine, Nursing, Pharmacy, Science, Social Sciences",Yes,"Monash International Merit Scholarship; Monash Graduate Excellence Scholarship; Dean's International Scholarship; research scholarships",Semester 1 (Feb); Semester 2 (Jul),https://www.monash.edu/study/how-to-apply,https://www.monash.edu,https://www.monash.edu/__data/assets/image/0011/1186701/campus-main.jpg,https://www.monash.edu/__data/assets/image/0008/1186690/campus-buildings.jpg,https://www.monash.edu/__data/assets/image/0005/1186700/library-exterior.jpg,https://www.monash.edu/themes/custom/monash/images/monash-logo.svg,"Go8 member; multiple campuses globally; PTE accepted; GMAT for MBA; strong pharmacy and medicine programs"
University of Amsterdam,Netherlands,Amsterdam,43,Public,€2314/year (EU); €12000–€22000/year (non-EU Int'l),€75 (PG),"6.5–7.0 (program-specific)","92–100 iBT",,3.0+,May–June (UG NL); Jan–April (Int'l UG); Nov–Apr (PG),"Actuarial Science, Arts & Humanities, Biomedical Sciences, Business, Communication, Computer Science, Economics & Business, Law, Natural Sciences, Social Sciences, Theology",Yes,"Amsterdam Merit Scholarships; Excellence Scholarship Program (ESP); Holland Scholarship; Erasmus+ grants",Fall (Sep),https://www.uva.nl/en/education/bachelor-s/applying-and-enrolment/applying-and-enrolment.html,https://www.uva.nl,https://www.uva.nl/binaries/content/gallery/uva/channel-image/2018/02/roeterseiland-campus-uva.jpg,https://www.uva.nl/binaries/content/gallery/uva/channel-image/2018/02/binnenstad-uva.jpg,https://www.uva.nl/binaries/content/gallery/uva/channel-image/2017/09/science-park-uva.jpg,https://www.uva.nl/binaries/content/gallery/uva/en/icons/uba-logo-footer.svg,"Most UG programs in Dutch; PG largely in English; numerus fixus (limited places) for popular programs; OV-chipkaart for students"
KU Leuven,Belgium,Leuven,45,Public,€960/year (Belgian EU); €4000–€12000/year (non-EU Int'l; program-dependent),€50 (PG),"7.0 (most PG English programs)","94+ iBT",,3.0+,Jan–March (UG); Dec–April (PG varies),"Architecture, Arts, Business Economics, Biomedical Sciences, Computer Science, Engineering, Law, Medicine, Natural Sciences, Philosophy, Social Sciences, Theology",Yes,"KU Leuven Doctoral Scholarships; IRO Scholarships; VLIR-UOS Scholarships; Belgian Development Cooperation Scholarships",Fall (Sep); limited Spring (Feb),https://www.kuleuven.be/english/admissions,https://www.kuleuven.be,https://www.kuleuven.be/sites/default/files/images/leuven-campus-aerial.jpg,https://www.kuleuven.be/sites/default/files/images/university-hall.jpg,https://www.kuleuven.be/sites/default/files/images/arenberg-campus.jpg,https://www.kuleuven.be/sites/default/files/images/kuleuven-logo.png,"Large portion of PG in Dutch; English-medium master's programs available; low EU tuition; research-intensive Catholic university"
Technical University of Munich (TUM),Germany,Munich,47,Public,€151.75/semester (~€303/year; same for all students; Bayern admin fee),None for most programs (€0),"7.0 (most English PG programs)","95+ iBT",,3.0+ (German GPA equiv),Nov 1–Dec 15 (PG TUM global); varies by program,"Architecture, Biochemistry, Business Administration, Chemistry, Civil Engineering, Computer Science, Economics, Electrical Engineering, Environmental Engineering, Management, Mathematics, Medicine, Physics",Yes,"Deutschlandstipendium; TUM Talent Management Scholarship; DAAD Scholarships; Bavarian State Scholarships",Winter (Oct); Summer (Apr),https://www.tum.de/en/studies/applying/,https://www.tum.de,https://www.tum.de/typo3temp/assets/images/csm_tum-main-building_2d94babd69.jpg,https://www.tum.de/typo3temp/assets/images/csm_tum-campus-garching_eb37e48a1f.jpg,https://www.tum.de/typo3temp/assets/images/csm_tum-weihenstephan_9c26c5c44f.jpg,https://www.tum.de/typo3temp/assets/images/csm_tum-logo_a1b2c3d4e5.jpg,"Near-zero tuition for all; many PG programs in English; strong engineering and business programs; DAAD scholarships widely available"
Carnegie Mellon University (CMU),USA,Pittsburgh (PA),50,Private,"USD 62148/year (UG tuition); varies widely by PG program (some up to USD 90000/year)",USD 75 (UG); USD 75–100 (PG),"7.0+","102+ iBT",,3.5+,Nov 1 (ED); Jan 3 (RD); Dec–Feb (PG),"Architecture, Biological Sciences, Business (Tepper MBA), Chemistry, Computer Science, Design, Drama, Engineering, Fine Arts, Information Systems, Mathematics, Music, Public Policy, Robotics",Yes,"Need-based financial aid; Carnegie Mellon Merit Scholarships; Steinbrenner Doctoral Fellowships; university fellowships",Fall,https://admission.cmu.edu,https://www.cmu.edu,https://www.cmu.edu/assets/images/campus/campus-aerial-2020.jpg,https://www.cmu.edu/assets/images/campus/hunt-library.jpg,https://www.cmu.edu/assets/images/campus/wean-hall.jpg,https://www.cmu.edu/assets/images/cmu-wordmark.png,"Highly competitive CS programs; GRE required for most STEM PG; SAT/ACT required for UG; strong arts+tech culture"
University of Edinburgh,UK,Edinburgh,20,Public,£25600–£35000/year (UG Int'l); £18000–£45000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5–7.0","92–100 iBT",,3.3+,Jan 22 (UG UCAS); varies by PG program,"Architecture, Arts & Humanities, Business, Computer Science, Divinity, Engineering, Informatics, Law, Medicine, Natural Sciences, Social Sciences, Veterinary Medicine",Yes,"Edinburgh Global Scholarship; Principal's Career Development PhD Scholarship",Fall (Sep),https://www.ed.ac.uk/studying/postgraduate/applying,https://www.ed.ac.uk,https://www.ed.ac.uk/sites/default/files/atoms/files/old_college.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/main-library.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/george-square-campus.jpg,https://www.ed.ac.uk/sites/default/files/atoms/files/uoe-logo.png,"Personal statement; UCAT for Medicine; portfolio for arts"
University of Warwick,UK,Coventry,49,Public,£21000–£32000/year (UG Int'l); £16000–£28000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5–7.0","92–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts, Business (Warwick Business School MBA), Computer Science, Economics, Education, Engineering, Law, Life Sciences, Mathematics, Medicine, Philosophy, Social Sciences",Yes,"Chancellor's International Scholarship; Warwick Taught Masters Scholarships; PhD Studentships; STEM Scholarships",Fall (Sep),https://warwick.ac.uk/study/,https://www.warwick.ac.uk,https://www.warwick.ac.uk/newsandevents/image/warwick-aerial.jpg,https://www.warwick.ac.uk/newsandevents/image/warwick-library.jpg,https://www.warwick.ac.uk/newsandevents/image/warwick-main.jpg,https://www.warwick.ac.uk/sites/default/files/images/warwick-logo.png,"GMAT for MBA; personal statement required; strong economics and maths departments"
University of Wisconsin-Madison,USA,Madison (WI),46,Public,"USD 11070/year (WI resident UG); USD 39427/year (non-resident UG); varies PG",USD 60 (UG); USD 75 (PG),"6.5+","80+ iBT",,3.0,Nov 1 (EA); Feb 1 (RD); Dec–Feb (PG),"Agriculture, Arts & Sciences, Business (Wisconsin School of Business), Computer Science, Education, Engineering, Human Ecology, Journalism, Law, Medicine, Pharmacy, Natural Sciences, Veterinary Medicine",Yes,"Chancellor's Scholarship; Morgridge Center Scholarship; Graduate Fellowships; WARF Fellowships for doctoral",Fall,https://www.admissions.wisc.edu,https://www.wisc.edu,https://www.wisc.edu/wp-content/uploads/2020/09/campus-aerial.jpg,https://www.wisc.edu/wp-content/uploads/2020/09/memorial-library.jpg,https://www.wisc.edu/wp-content/uploads/2020/09/state-street.jpg,https://www.wisc.edu/wp-content/uploads/2021/10/uw-logo.png,"GRE required for many PG; strong research output; Big Ten university"
University of California Davis,USA,Davis (CA),48,Public,"USD 14312/year (CA resident UG); USD 44066/year (non-resident UG); varies PG",USD 70 (UG); USD 105 (PG),"7.0+","80+ iBT",,3.0,Nov 30 (UG); Jan–Mar (PG),"Agriculture, Biological Sciences, Business, Computer Science, Education, Engineering, Environmental Sciences, Law, Medicine, Natural Sciences, Social Sciences, Veterinary Medicine",Yes,"Regents Scholarship; UC Davis Scholarship; Graduate Division Fellowships",Fall,https://apply.universityofcalifornia.edu,https://www.ucdavis.edu,https://www.ucdavis.edu/sites/default/files/styles/sf_gallery_image/public/campus.jpg,https://www.ucdavis.edu/sites/default/files/styles/sf_gallery_image/public/library.jpg,https://www.ucdavis.edu/sites/default/files/styles/sf_gallery_image/public/memorial-union.jpg,https://www.ucdavis.edu/sites/default/files/images/ucdavis-wordmark-gold.png,"Strong agricultural and veterinary programs; GRE/GMAT for some PG; UC system application"
